id,student_request_id,student_profile_id,field_key,original_file_name,mime_type,size_bytes,storage_bucket,storage_object_path,upload_status,checksum_sha256,created_by,created_at,uploaded_at,attached_at,rejected_at,rejection_code
0402375c-901b-4ef2-955c-7cbacda3c628,24f1c63a-f14e-4595-882b-b6ba4bf52dd4,7020e51d-19e3-4acb-9597-5145b65d117e,secondary_certificate,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/24f1c63a-f14e-4595-882b-b6ba4bf52dd4/0402375c-901b-4ef2-955c-7cbacda3c628/content.pdf,pending,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:53:56.181351+00,,,,
0581d940-6326-480c-8725-00863c272634,24f1c63a-f14e-4595-882b-b6ba4bf52dd4,7020e51d-19e3-4acb-9597-5145b65d117e,secondary_certificate,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/24f1c63a-f14e-4595-882b-b6ba4bf52dd4/0581d940-6326-480c-8725-00863c272634/content.pdf,pending,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:56:09.588942+00,,,,
06405618-83a2-4cae-bd74-4c198e427b99,4953f79c-fcf1-4119-8ef3-a0c6c240534f,7020e51d-19e3-4acb-9597-5145b65d117e,secondary_certificate,test_only_evidence.pdf,application/pdf,125,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/4953f79c-fcf1-4119-8ef3-a0c6c240534f/06405618-83a2-4cae-bd74-4c198e427b99/content.pdf,attached,,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 07:48:37.261064+00,2026-07-27 07:48:37.532512+00,2026-07-27 07:48:37.532512+00,,
2828f54c-05bd-4703-aa68-933000799a8a,de9e6c7f-eaec-4d32-9e8c-7ce168d542c5,7020e51d-19e3-4acb-9597-5145b65d117e,excuse_documents,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/de9e6c7f-eaec-4d32-9e8c-7ce168d542c5/2828f54c-05bd-4703-aa68-933000799a8a/content.pdf,attached,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:59:27.765166+00,2026-07-27 10:59:28.142682+00,2026-07-27 10:59:28.142682+00,,
2cc3c7a3-3e05-48da-9538-185ef1abc8ca,de9e6c7f-eaec-4d32-9e8c-7ce168d542c5,7020e51d-19e3-4acb-9597-5145b65d117e,excuse_documents,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/de9e6c7f-eaec-4d32-9e8c-7ce168d542c5/2cc3c7a3-3e05-48da-9538-185ef1abc8ca/content.pdf,rejected,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:59:27.197998+00,,,2026-07-27 10:59:27.702163+00,student_removed
3ab89d66-9d74-4cd1-9fe7-8dfaa5b87498,40ccc66a-d638-4c49-8ac6-ac771caea131,b1e20002-0000-4000-8000-000000000002,secondary_certificate,test.pdf,application/pdf,193,student-request-secure-attachments,student-requests/b1e20002-0000-4000-8000-000000000002/40ccc66a-d638-4c49-8ac6-ac771caea131/3ab89d66-9d74-4cd1-9fe7-8dfaa5b87498/content.pdf,attached,,57e805dc-f975-4834-b1cb-f99c09756980,2026-07-27 16:59:26.027297+00,2026-07-27 16:59:26.381348+00,2026-07-27 16:59:26.381348+00,,
4db6659b-a033-4a4f-a7a2-7b9bd28aa3b1,acdbcc84-c54b-413a-bea0-ec9b88eeda44,7020e51d-19e3-4acb-9597-5145b65d117e,excuse_documents,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/acdbcc84-c54b-413a-bea0-ec9b88eeda44/4db6659b-a033-4a4f-a7a2-7b9bd28aa3b1/content.pdf,pending,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:58:55.1646+00,,,,
604e81ac-e853-4eb8-adb3-79c13fddb9b1,421429ec-f165-4e07-bc3b-278268ec4f33,7020e51d-19e3-4acb-9597-5145b65d117e,secondary_certificate,test-only-evidence.pdf,application/pdf,68,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/421429ec-f165-4e07-bc3b-278268ec4f33/604e81ac-e853-4eb8-adb3-79c13fddb9b1/content.pdf,rejected,271d0eb8ddbb719ecf0aad96f323794bbb84a2638ceab91eb7a9b6ca3d3dfd3a,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 10:59:33.289537+00,,,2026-07-27 10:59:33.653006+00,student_removed
680a2f3d-dd23-427a-9f58-45a49ffb3691,40ccc66a-d638-4c49-8ac6-ac771caea131,b1e20002-0000-4000-8000-000000000002,secondary_certificate,test.pdf,application/pdf,193,student-request-secure-attachments,student-requests/b1e20002-0000-4000-8000-000000000002/40ccc66a-d638-4c49-8ac6-ac771caea131/680a2f3d-dd23-427a-9f58-45a49ffb3691/content.pdf,attached,,57e805dc-f975-4834-b1cb-f99c09756980,2026-07-27 17:02:19.453653+00,2026-07-27 17:02:19.976027+00,2026-07-27 17:02:19.976027+00,,
6bb11dbc-66a6-4dda-969e-e4e0e26eaf2e,e3cc0366-b6fc-4d64-8c01-541030f83b00,7020e51d-19e3-4acb-9597-5145b65d117e,excuse_documents,test_only_evidence.pdf,application/pdf,125,student-request-secure-attachments,student-requests/7020e51d-19e3-4acb-9597-5145b65d117e/e3cc0366-b6fc-4d64-8c01-541030f83b00/6bb11dbc-66a6-4dda-969e-e4e0e26eaf2e/content.pdf,attached,,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,2026-07-27 07:52:11.155693+00,2026-07-27 07:52:11.771532+00,2026-07-27 07:52:11.771532+00,,
