id,student_request_id,workflow_step_runtime_id,event_type,actor_user_id,actor_unit_id,actor_role_id,message_ar,message_en,payload,visible_to_student,created_at
0586c000-40e1-494a-8142-19ffccfdbe25,4cf1fda2-0218-4403-a676-a6697b08aa34,b4ad9951-a0dc-4ca7-9966-0cf10a6507c6,archived,676ecf19-4c7a-45eb-86db-2c141e5a7691,b9bc6b28-c948-4ef9-b6b0-e74752ea3db4,0e2c5110-9014-43d1-bf80-e3a74a4a17bc,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,,"{""action"": ""archive"", ""action_result"": ""archived"", ""transition_id"": ""2b2285bb-3fe6-44ce-911f-9f73a77adb01""}",t,2026-07-27 07:54:36.568654+00
05f6d8a8-3eee-4e6d-859f-cd9991b9d683,bf38217e-9edb-4527-bde2-dc30e56a9f47,,submitted,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,,,,,"{""canonical_code"": ""final_chance""}",t,2026-07-27 10:52:18.314494+00
09195d18-112d-4602-906c-81d029f1cc94,70ea684d-fe11-4505-8d94-73f035770b39,73451e85-6137-4bba-94bb-ec064e3143d6,academic_effect_applied,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,a8ebca48-9334-4428-95fe-0830cb45c484,0e6784cb-0636-4ecb-9e46-f422be41e1ad,,,"{""effect"": ""final_chance"", ""semester_id"": ""d4dc2d92-00ce-4ea0-a7ed-da06d546512f"", ""academic_year_id"": ""6b297abe-b4d5-47f0-a24e-ea25c7c691f6""}",t,2026-07-27 10:57:39.7606+00
09971e0f-dc51-47bd-aaa3-5c09fd361a28,4953f79c-fcf1-4119-8ef3-a0c6c240534f,5fa4c7a3-4202-47fa-8ad9-27618ee21990,payment_confirmed,f0d8a6b1-7845-46bd-8a12-d78ed6af2bfd,ff580c59-076b-40ff-9d64-0502d1c1125d,af495507-2cf9-4578-9b39-5a25ca1a6f0a,TEST_ONLY external university payment confirmation,,"{""action"": ""confirm_payment"", ""action_result"": ""payment_confirmed""}",t,2026-07-27 07:52:40.073096+00
0f4434e5-a877-4d93-ba35-cd0afe2f7bc2,53710937-4a69-4fc6-96b1-c2727c551c6e,87afb93c-01b0-4015-9668-2e0c579491b2,reviewed,24406961-d8b2-4db7-8896-0ef82039d75f,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""review"", ""action_result"": ""reviewed"", ""transition_id"": ""98439ca3-74fc-424f-9cd5-aa91f1be1ce3""}",t,2026-07-27 10:59:57.903697+00
100257f4-d69f-4a5a-9e06-9b12e9b4b451,421429ec-f165-4e07-bc3b-278268ec4f33,2e8c789e-784a-468c-84f6-84dd79e6cf7e,approved,49f152f8-db2b-4bd0-af08-2f8b3425d053,fc58655d-326a-462f-9f66-cab6d32cc8fa,06b461ab-8f47-4d4c-8ffa-fc8c23f80620,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""approve"", ""action_result"": ""approved"", ""transition_id"": ""b7c99ff8-115b-4aec-8e26-a2faf6008cc6""}",t,2026-07-27 10:59:36.873452+00
108c6871-e107-4f1f-9961-ced97e750eee,d3f5be81-0760-459b-8d30-a3377ab33aa1,ddefee47-5819-4bda-a6c3-c28720825108,approved,fb59542d-d410-4fa4-88d3-1e3e2fabe014,bd3616b0-2322-4087-b9b8-b1f0ec244914,c7347947-789b-405a-b6e5-d58c97104438,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""approve"", ""action_result"": ""approved"", ""transition_id"": ""8eec4e4c-6219-47c8-99a5-e016c7660fd7""}",t,2026-07-27 10:54:00.949843+00
10fcf1e7-449e-4d02-a536-d763578ec43b,6c4ca023-11d4-41e9-91ce-55d353795909,29b3afc0-180e-4872-a2e9-30566ffe6081,applied,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,a8ebca48-9334-4428-95fe-0830cb45c484,0e6784cb-0636-4ecb-9e46-f422be41e1ad,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,,"{""action"": ""apply_decision"", ""action_result"": ""applied"", ""transition_id"": ""1c3e2f22-a445-4b26-b18e-a8239f3418bc""}",t,2026-07-27 07:53:11.053592+00
12894057-b15f-4cad-9321-41b4451a052c,30482047-e7e4-4e5a-accd-5a9a097d9e14,197a38c9-6633-4ae8-aa51-873ee46c4be5,applied,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,a8ebca48-9334-4428-95fe-0830cb45c484,0e6784cb-0636-4ecb-9e46-f422be41e1ad,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""apply_decision"", ""action_result"": ""applied"", ""transition_id"": ""1c3e2f22-a445-4b26-b18e-a8239f3418bc""}",t,2026-07-27 10:59:50.521601+00
1661e398-bd82-401c-8d77-a05fb0efa12b,de9e6c7f-eaec-4d32-9e8c-7ce168d542c5,,submitted,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,,,,,"{""canonical_code"": ""excused_absence""}",t,2026-07-27 10:59:28.223218+00
199fa03c-bd82-498f-a55e-ffe6a4d24536,f2a8e4bb-b305-4dc9-8ec7-570a2c35c993,9f310cc6-ba3f-403c-84bf-80750af7acc0,cleared,749a6e5d-eb27-4417-99a4-7abaffe406a3,48e25baf-3ed0-4cde-b128-22d801ce6dd1,544028ec-0590-4119-bf83-7bc6c178fc1a,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""clear"", ""action_result"": ""cleared"", ""transition_id"": ""86231b59-5c83-4c2d-bfd5-be96d20a96f6""}",t,2026-07-27 10:57:43.093706+00
1c414228-033a-425f-936b-22237fbc7e42,70ea684d-fe11-4505-8d94-73f035770b39,d42f271c-450e-4037-8f5e-eba76585a9eb,payment_confirmed,f0d8a6b1-7845-46bd-8a12-d78ed6af2bfd,ff580c59-076b-40ff-9d64-0502d1c1125d,af495507-2cf9-4578-9b39-5a25ca1a6f0a,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""confirm_payment"", ""action_result"": ""payment_confirmed""}",t,2026-07-27 10:57:38.377075+00
1e1b403e-476b-457e-88bc-4a4cb7d3f709,0277c36b-462f-410c-830b-6960a01dd163,,submitted,2e3ca4d6-603c-4f06-a23e-462bf92fcfd3,,,,,"{""canonical_code"": ""enrollment_suspension""}",t,2026-07-27 07:51:50.376666+00
204d6df9-5a96-48c0-a2b6-0dfacc205ac7,e8f72662-5dd6-45d2-9bab-555c39f7a136,d34f8fa6-38ef-4784-b597-ca4822da08a5,approved,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,44d05dea-1a26-4451-a384-d3f01dd88ed9,92a20288-a166-4ea3-893e-d8a4300c2828,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,,"{""action"": ""approve"", ""action_result"": ""approved"", ""transition_id"": ""e0a32701-a5f4-49d0-be88-477210b2fb02""}",t,2026-07-27 07:48:13.811669+00
24cb0e78-934d-4ae1-86f3-13d85f4fb957,85d7068a-8443-4a96-b3bb-b7c658616820,eb958fac-ae2b-42ca-94f4-db6bfebb92e6,archived,676ecf19-4c7a-45eb-86db-2c141e5a7691,b9bc6b28-c948-4ef9-b6b0-e74752ea3db4,0e2c5110-9014-43d1-bf80-e3a74a4a17bc,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,,"{""action"": ""archive"", ""action_result"": ""archived"", ""transition_id"": ""2b2285bb-3fe6-44ce-911f-9f73a77adb01""}",t,2026-07-27 07:51:35.842186+00
24e5c4fc-fb30-4ade-b9ec-4aafda968548,7df02398-bf56-4c75-b63b-f5ec20e39360,1104cc1d-f3c2-4ecd-8c1d-be09fca608c3,reviewed,24406961-d8b2-4db7-8896-0ef82039d75f,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""review"", ""action_result"": ""reviewed"", ""transition_id"": ""98439ca3-74fc-424f-9cd5-aa91f1be1ce3""}",t,2026-07-27 10:56:19.373417+00
2510f665-6bf5-447f-aa8c-327cc9840a22,421429ec-f165-4e07-bc3b-278268ec4f33,dd11835b-4bbf-4382-9d55-ff66c222cffe,reviewed,24406961-d8b2-4db7-8896-0ef82039d75f,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""review"", ""action_result"": ""reviewed"", ""transition_id"": ""39d8ec89-9c89-4110-abba-89aadcd719a8""}",t,2026-07-27 10:59:35.43031+00
27872141-6bfe-4408-9b24-50349dca7653,7df02398-bf56-4c75-b63b-f5ec20e39360,aa07f3d6-3057-44d2-8304-739efac44bf0,archived,676ecf19-4c7a-45eb-86db-2c141e5a7691,b9bc6b28-c948-4ef9-b6b0-e74752ea3db4,0e2c5110-9014-43d1-bf80-e3a74a4a17bc,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""archive"", ""action_result"": ""archived"", ""transition_id"": ""2b2285bb-3fe6-44ce-911f-9f73a77adb01""}",t,2026-07-27 10:56:27.206515+00
2840490f-3e41-4762-86ee-05a749a44c33,53710937-4a69-4fc6-96b1-c2727c551c6e,7e17e23e-2200-4bb4-86f5-0b39eede3764,academic_effect_applied,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,a8ebca48-9334-4428-95fe-0830cb45c484,0e6784cb-0636-4ecb-9e46-f422be41e1ad,,,"{""effect"": ""file_withdrawal"", ""academic_status_id"": ""f864d89a-0017-4051-b627-61e587e946af""}",t,2026-07-27 11:00:05.363295+00
29bd64a1-0693-4321-be14-6e5d31f068e9,47e6eefe-7ff4-48a0-9c50-bf10af63a99a,bbb525ff-d83a-43c6-97de-ce3622d8d8fb,reviewed,24406961-d8b2-4db7-8896-0ef82039d75f,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,,"{""action"": ""review"", ""action_result"": ""reviewed"", ""transition_id"": ""9d710b2d-4955-43a1-8251-e933930614d6""}",t,2026-07-27 10:56:12.112143+00
