id,student_request_id,workflow_id,workflow_step_id,step_key,step_name_ar,step_order,processing_unit_id,processing_role_id,assigned_user_id,assigned_staff_profile_id,assigned_faculty_profile_id,assigned_position_assignment_id,status,entered_at,completed_at,completed_by,decision,comment,metadata,created_at,updated_at
00ecba27-7980-42e5-8467-08b9e9646f67,70ea684d-fe11-4505-8d94-73f035770b39,88f0b63c-0977-425e-8c08-df0e946f30b0,9633e070-c930-4100-b256-6e341a81f3b3,manager_review,مراجعة مدير شؤون الطلاب,2,44d05dea-1a26-4451-a384-d3f01dd88ed9,92a20288-a166-4ea3-893e-d8a4300c2828,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,,,,completed,2026-07-27 10:57:34.017222+00,2026-07-27 10:57:35.461497+00,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,approved,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,"{""action_type"": ""approve"", ""direct_assignment_id"": ""cc000002-0000-4000-8000-000000000002""}",2026-07-27 10:57:32.388324+00,2026-07-27 10:57:35.461497+00
00efcf62-5ccb-421c-8059-f053ccb7f41c,85d7068a-8443-4a96-b3bb-b7c658616820,43cbd321-a458-488f-bb1d-9ca62faf4307,a4ea9681-d127-442a-a5a8-bd6e0e11e52b,activities_clearance,مخالصة الأنشطة,4,44d05dea-1a26-4451-a384-d3f01dd88ed9,92a20288-a166-4ea3-893e-d8a4300c2828,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,,,,completed,2026-07-27 07:50:47.620489+00,2026-07-27 07:51:00.830097+00,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,cleared,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,"{""action_type"": ""clear"", ""direct_assignment_id"": ""cc000002-0000-4000-8000-000000000002""}",2026-07-27 07:50:09.100699+00,2026-07-27 07:51:00.830097+00
018222a6-9a97-4204-9018-3e77f4ec7573,0277c36b-462f-410c-830b-6960a01dd163,39513c40-6de7-45ab-baea-6bbaebf4707c,37e96c04-060d-431d-9b5d-c640d2baba95,manager_approval,اعتماد مدير شؤون الطلاب,2,44d05dea-1a26-4451-a384-d3f01dd88ed9,92a20288-a166-4ea3-893e-d8a4300c2828,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,,,,completed,2026-07-27 07:51:57.336004+00,2026-07-27 07:52:04.138795+00,0b2a2543-a77a-4b86-ad7f-8b35f9db6502,approved,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,"{""action_type"": ""approve"", ""direct_assignment_id"": ""cc000002-0000-4000-8000-000000000002""}",2026-07-27 07:51:50.376666+00,2026-07-27 07:52:04.138795+00
052c3dfb-d488-43f1-bedf-9452c00372f5,f2a8e4bb-b305-4dc9-8ec7-570a2c35c993,43cbd321-a458-488f-bb1d-9ca62faf4307,80fd697c-86ca-4454-831d-0309f6932cc3,labs_clearance,مخالصة المعامل,3,e54caf55-d0b1-424b-8513-a30466fec693,7ad4e3cf-1211-4d21-a4fe-4360cfa16a78,b8b50c98-f26c-413b-a585-fafd0abfaa21,,,,completed,2026-07-27 10:57:43.093706+00,2026-07-27 10:57:44.549893+00,b8b50c98-f26c-413b-a585-fafd0abfaa21,cleared,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,"{""action_type"": ""clear"", ""direct_assignment_id"": ""cc000005-0000-4000-8000-000000000005""}",2026-07-27 10:57:40.272233+00,2026-07-27 10:57:44.549893+00
09b7ff80-92a0-4187-8b29-0a56035ed762,f2a8e4bb-b305-4dc9-8ec7-570a2c35c993,43cbd321-a458-488f-bb1d-9ca62faf4307,2854d39b-3009-4142-8a01-51fd19fb5632,finance_clearance,المخالصة المالية,5,ff580c59-076b-40ff-9d64-0502d1c1125d,af495507-2cf9-4578-9b39-5a25ca1a6f0a,f0d8a6b1-7845-46bd-8a12-d78ed6af2bfd,,,,completed,2026-07-27 10:57:45.946709+00,2026-07-27 10:57:47.37937+00,f0d8a6b1-7845-46bd-8a12-d78ed6af2bfd,cleared,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,"{""action_type"": ""clear"", ""direct_assignment_id"": ""cc000006-0000-4000-8000-000000000006""}",2026-07-27 10:57:40.272233+00,2026-07-27 10:57:47.37937+00
0a3588b0-382f-4d76-9887-111e19d53d21,c876eb00-4677-4b7b-ba8f-d8a15392f0df,39513c40-6de7-45ab-baea-6bbaebf4707c,38a7dd89-6d9e-4b90-a648-a0c0ed8f9854,initial_review,المراجعة الأولية,1,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,24406961-d8b2-4db7-8896-0ef82039d75f,,,,active,2026-07-27 10:52:15.687354+00,,,,,"{""action_type"": ""review"", ""direct_assignment_id"": ""cc000001-0000-4000-8000-000000000001""}",2026-07-27 10:52:15.687354+00,2026-07-27 10:52:15.687354+00
0b04ad56-bbf2-4387-88ea-086f3252885e,fda9e39c-ab82-44e2-aef6-0b422d401e0e,88f0b63c-0977-425e-8c08-df0e946f30b0,9fc5c3be-a75d-4382-905c-3d83ffd39747,dean_decision,قرار العميد,3,bd3616b0-2322-4087-b9b8-b1f0ec244914,c7347947-789b-405a-b6e5-d58c97104438,fb59542d-d410-4fa4-88d3-1e3e2fabe014,,,,pending,,,,,,"{""action_type"": ""approve"", ""direct_assignment_id"": ""cc000008-0000-4000-8000-000000000008""}",2026-07-27 10:53:14.308204+00,2026-07-27 10:53:14.308204+00
0d1adbc9-c25c-421f-a9c6-71886f91f015,c3acb770-2a89-441a-93cd-d0ff882a3e4b,39513c40-6de7-45ab-baea-6bbaebf4707c,10abce0d-3200-4422-9e6c-01a1d2177434,registrar_apply,تطبيق قرار وقف القيد,3,a8ebca48-9334-4428-95fe-0830cb45c484,0e6784cb-0636-4ecb-9e46-f422be41e1ad,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,,,,completed,2026-07-27 10:59:54.005579+00,2026-07-27 10:59:55.878683+00,15b0f3cd-29d8-4eb1-ad15-bb9026986dbc,applied,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,"{""action_type"": ""apply_decision"", ""direct_assignment_id"": ""cc000003-0000-4000-8000-000000000003""}",2026-07-27 10:59:51.045561+00,2026-07-27 10:59:55.878683+00
0ee6307f-bd39-45de-8531-a19981747f12,27e5d06b-c1c6-45d6-b96d-cbf89e18e697,39513c40-6de7-45ab-baea-6bbaebf4707c,38a7dd89-6d9e-4b90-a648-a0c0ed8f9854,initial_review,المراجعة الأولية,1,44d05dea-1a26-4451-a384-d3f01dd88ed9,32ee5cec-9b61-494d-afc9-7a7dbee19db5,24406961-d8b2-4db7-8896-0ef82039d75f,,,,completed,2026-07-27 07:21:15.890025+00,2026-07-27 07:28:31.564567+00,24406961-d8b2-4db7-8896-0ef82039d75f,reviewed,TEST_ONLY_FIRST_DELIVERY_5_SERVICES,"{""action_type"": ""review"", ""direct_assignment_id"": ""cc000001-0000-4000-8000-000000000001""}",2026-07-27 07:21:15.890025+00,2026-07-27 07:28:31.564567+00
0f15f0cf-6730-4062-943d-c95414311bb0,47e6eefe-7ff4-48a0-9c50-bf10af63a99a,88f0b63c-0977-425e-8c08-df0e946f30b0,9fc5c3be-a75d-4382-905c-3d83ffd39747,dean_decision,قرار العميد,3,bd3616b0-2322-4087-b9b8-b1f0ec244914,c7347947-789b-405a-b6e5-d58c97104438,fb59542d-d410-4fa4-88d3-1e3e2fabe014,,,,completed,2026-07-27 10:56:13.479652+00,2026-07-27 10:56:14.8177+00,fb59542d-d410-4fa4-88d3-1e3e2fabe014,approved,TEST_ONLY_FIRST_DELIVERY_FIVE_SERVICES_REAL_GO_LIVE,"{""action_type"": ""approve"", ""direct_assignment_id"": ""cc000008-0000-4000-8000-000000000008""}",2026-07-27 10:56:09.992406+00,2026-07-27 10:56:14.8177+00
